거래년도,품목분류,품목명,판매금액,수량,할인율,수익금액,거래월
2021,Fashion,Fossil Watch,190800,4,0.04,64320,1월
2021,Fashion,Shirts,235200,5,0.03,103920,1월
2021,Fashion,Fossil Watch,190800,2,0.04,79560,1월
2021,Auto & Accessories,Car Pillow & Neck Rest,277200,3,0.04,147960,1월
2021,Auto & Accessories,Car & Bike Care,141600,4,0.01,39960,1월
2021,Auto & Accessories,Car Mat,64800,5,0.04,12960,1월
2021,Auto & Accessories,Car Media Players,168000,1,0.01,70320,1월
2021,Fashion,Suits,130800,1,0.01,33480,1월
2021,Auto & Accessories,Car Body Covers,140400,2,0.05,30360,1월
2021,Fashion,Sports Wear,102000,2,0.04,51000,1월
2021,Home & Furniture,Dinner Crockery,159600,4,0.02,50880,1월
2021,Auto & Accessories,Car Speakers,253200,5,0.01,144600,1월
2021,Auto & Accessories,Car Mat,64800,1,0.01,64800,1월
2021,Fashion,Titak watch,273600,2,0.01,172080,1월
2021,Fashion,Jeans,261600,3,0.05,126360,1월
2021,Fashion,Jeans,261600,3,0.05,126360,1월
2021,Fashion,Fossil Watch,190800,2,0.05,75720,1월
2021,Auto & Accessories,Car Media Players,168000,4,0.03,51840,1월
2021,Auto & Accessories,Tyre,300000,2,0.05,174000,1월
2021,Home & Furniture,Beds,93600,2,0.01,46800,1월
2021,Home & Furniture,Towels,273600,3,0.05,136560,1월
2021,Auto & Accessories,Car Seat Covers,136800,3,0.04,24360,1월
2021,Auto & Accessories,Bike Tyres,86400,1,0.02,86400,1월
2021,Auto & Accessories,Car Body Covers,140400,5,0.02,30360,1월
2021,Fashion,Casula Shoes,146400,2,0.02,44520,1월
2021,Home & Furniture,Shoe Rack,148800,1,0.01,51360,1월
2021,Auto & Accessories,Car Pillow & Neck Rest,277200,4,0.04,136800,1월
2021,Home & Furniture,Towels,273600,3,0.03,153000,1월
2021,Fashion,Jeans,261600,3,0.02,149880,1월
2021,Home & Furniture,Shoe Rack,148800,5,0.04,23040,1월
2021,Fashion,Shirts,235200,5,0.04,92160,1월
2021,Fashion,Jeans,261600,5,0.02,139440,1월
2021,Auto & Accessories,Car Speakers,253200,4,0.02,136920,1월
2021,Fashion,Casula Shoes,146400,5,0.02,35760,1월
2021,Fashion,Titak watch,273600,2,0.05,150240,1월
2021,Fashion,Running Shoes,268800,3,0.03,148560,1월
2021,Auto & Accessories,Car Body Covers,140400,1,0.04,38760,1월
2021,Home & Furniture,Umbrellas,84000,5,0.01,16800,1월
2021,Auto & Accessories,Car & Bike Care,141600,3,0.04,28560,1월
2021,Fashion,Casula Shoes,146400,4,0.01,44520,1월
2021,Fashion,Sneakers,74400,4,0.03,18600,1월
2021,Home & Furniture,Sofa Covers,259200,4,0.01,152880,1월
2021,Fashion,Shirts,235200,3,0.03,118080,1월
2021,Fashion,Casula Shoes,146400,4,0.05,21120,1월
2021,Fashion,Sports Wear,102000,5,0.03,20400,1월
2021,Fashion,Casula Shoes,146400,3,0.01,45960,1월
2021,Fashion,Formal Shoes,255600,2,0.03,144240,1월
2021,Fashion,Formal Shoes,255600,2,0.01,154440,1월
2021,Auto & Accessories,Car & Bike Care,141600,5,0.04,17280,1월
2021,Fashion,Running Shoes,268800,2,0.03,156720,1월
2021,Fashion,Sports Wear,102000,4,0.01,1920,1월
2021,Fashion,Fossil Watch,190800,3,0.05,66240,1월
2021,Auto & Accessories,Car Pillow & Neck Rest,277200,5,0.05,111960,1월
2021,Fashion,T - Shirts,297600,2,0.05,171840,1월
2021,Auto & Accessories,Car Mat,64800,4,0.02,16200,1월
2021,Fashion,T - Shirts,297600,3,0.05,156960,1월
2021,Fashion,Titak watch,273600,3,0.02,161160,1월
2021,Fashion,Shirts,235200,4,0.01,129840,1월
2021,Auto & Accessories,Tyre,300000,4,0.02,180000,1월
2021,Fashion,Running Shoes,268800,5,0.02,145920,1월
2021,Fashion,Sneakers,74400,3,0.04,24840,1월
2021,Fashion,Sports Wear,102000,1,0.04,1920,1월
2021,Auto & Accessories,Car Seat Covers,136800,2,0.05,27120,1월
2021,Fashion,Casula Shoes,146400,1,0.03,45960,1월
2021,Home & Furniture,Bed Sheets,253200,2,0.02,147120,1월
2021,Fashion,Jeans,261600,3,0.02,149880,1월
2021,Auto & Accessories,Car Media Players,168000,4,0.02,58560,1월
2021,Fashion,Sports Wear,102000,3,0.03,33960,1월
2021,Fashion,Suits,130800,5,0.02,21720,1월
2021,Fashion,T - Shirts,297600,1,0.05,186720,1월
