거래년도,품목분류,품목명,거래월,판매금액,수량,할인율,수익금액
2021,Fashion,Fossil Watch,1월,190800,4,0.04,64320
2021,Fashion,Shirts,1월,235200,5,0.03,103920
2021,Fashion,Fossil Watch,1월,190800,2,0.04,79560
2021,Auto & Accessories,Car Pillow & Neck Rest,1월,277200,3,0.04,147960
2021,Auto & Accessories,Car & Bike Care,1월,141600,4,0.01,39960
2021,Auto & Accessories,Car Mat,1월,64800,5,0.04,12960
2021,Auto & Accessories,Car Media Players,1월,168000,1,0.01,70320
2021,Fashion,Suits,1월,130800,1,0.01,33480
2021,Auto & Accessories,Car Body Covers,1월,140400,2,0.05,30360
2021,Fashion,Sports Wear,1월,102000,2,0.04,51000
2021,Home & Furniture,Dinner Crockery,1월,159600,4,0.02,50880
2021,Auto & Accessories,Car Speakers,1월,253200,5,0.01,144600
2021,Auto & Accessories,Car Mat,1월,64800,1,0.01,64800
2021,Fashion,Titak watch,1월,273600,2,0.01,172080
2021,Fashion,Jeans,1월,261600,3,0.05,126360
2021,Fashion,Jeans,1월,261600,3,0.05,126360
2021,Fashion,Fossil Watch,1월,190800,2,0.05,75720
2021,Auto & Accessories,Car Media Players,1월,168000,4,0.03,51840
2021,Auto & Accessories,Tyre,1월,300000,2,0.05,174000
2021,Home & Furniture,Beds,1월,93600,2,0.01,46800
2021,Home & Furniture,Towels,1월,273600,3,0.05,136560
2021,Auto & Accessories,Car Seat Covers,1월,136800,3,0.04,24360
2021,Auto & Accessories,Bike Tyres,1월,86400,1,0.02,86400
2021,Auto & Accessories,Car Body Covers,1월,140400,5,0.02,30360
2021,Fashion,Casula Shoes,1월,146400,2,0.02,44520
2021,Home & Furniture,Shoe Rack,1월,148800,1,0.01,51360
2021,Auto & Accessories,Car Pillow & Neck Rest,1월,277200,4,0.04,136800
2021,Home & Furniture,Towels,1월,273600,3,0.03,153000
2021,Fashion,Jeans,1월,261600,3,0.02,149880
2021,Home & Furniture,Shoe Rack,1월,148800,5,0.04,23040
2021,Fashion,Shirts,1월,235200,5,0.04,92160
2021,Fashion,Jeans,1월,261600,5,0.02,139440
2021,Auto & Accessories,Car Speakers,1월,253200,4,0.02,136920
2021,Fashion,Casula Shoes,1월,146400,5,0.02,35760
2021,Fashion,Titak watch,1월,273600,2,0.05,150240
2021,Fashion,Running Shoes,1월,268800,3,0.03,148560
2021,Auto & Accessories,Car Body Covers,1월,140400,1,0.04,38760
2021,Home & Furniture,Umbrellas,1월,84000,5,0.01,16800
2021,Auto & Accessories,Car & Bike Care,1월,141600,3,0.04,28560
2021,Fashion,Casula Shoes,1월,146400,4,0.01,44520
2021,Fashion,Sneakers,1월,74400,4,0.03,18600
2021,Home & Furniture,Sofa Covers,1월,259200,4,0.01,152880
2021,Fashion,Shirts,1월,235200,3,0.03,118080
2021,Fashion,Casula Shoes,1월,146400,4,0.05,21120
2021,Fashion,Sports Wear,1월,102000,5,0.03,20400
2021,Fashion,Casula Shoes,1월,146400,3,0.01,45960
2021,Fashion,Formal Shoes,1월,255600,2,0.03,144240
2021,Fashion,Formal Shoes,1월,255600,2,0.01,154440
2021,Auto & Accessories,Car & Bike Care,1월,141600,5,0.04,17280
2021,Fashion,Running Shoes,1월,268800,2,0.03,156720
2021,Fashion,Sports Wear,1월,102000,4,0.01,1920
2021,Fashion,Fossil Watch,1월,190800,3,0.05,66240
2021,Auto & Accessories,Car Pillow & Neck Rest,1월,277200,5,0.05,111960
2021,Fashion,T - Shirts,1월,297600,2,0.05,171840
2021,Auto & Accessories,Car Mat,1월,64800,4,0.02,16200
2021,Fashion,T - Shirts,1월,297600,3,0.05,156960
2021,Fashion,Titak watch,1월,273600,3,0.02,161160
2021,Fashion,Shirts,1월,235200,4,0.01,129840
2021,Auto & Accessories,Tyre,1월,300000,4,0.02,180000
2021,Fashion,Running Shoes,1월,268800,5,0.02,145920
2021,Fashion,Sneakers,1월,74400,3,0.04,24840
2021,Fashion,Sports Wear,1월,102000,1,0.04,1920
2021,Auto & Accessories,Car Seat Covers,1월,136800,2,0.05,27120
2021,Fashion,Casula Shoes,1월,146400,1,0.03,45960
2021,Home & Furniture,Bed Sheets,1월,253200,2,0.02,147120
2021,Fashion,Jeans,1월,261600,3,0.02,149880
2021,Auto & Accessories,Car Media Players,1월,168000,4,0.02,58560
2021,Fashion,Sports Wear,1월,102000,3,0.03,33960
2021,Fashion,Suits,1월,130800,5,0.02,21720
2021,Fashion,T - Shirts,1월,297600,1,0.05,186720
2021,Fashion,Casula Shoes,1월,146400,5,0.02,35760
2021,Fashion,Sneakers,1월,74400,4,0.05,18600
2021,Fashion,Sneakers,1월,74400,5,0.03,14880
2021,Fashion,Shirts,1월,235200,5,0.05,80400
2021,Home & Furniture,Curtains,1월,40800,4,0.05,10200
2021,Fashion,Running Shoes,1월,268800,2,0.05,145920
2021,Fashion,T - Shirts,1월,297600,4,0.01,189720
2021,Auto & Accessories,Car Seat Covers,1월,136800,2,0.01,38040
2021,Fashion,Formal Shoes,1월,255600,1,0.03,151920
2021,Auto & Accessories,Bike Tyres,1월,86400,1,0.04,86400
2021,Fashion,Sports Wear,1월,102000,5,0.03,20400
2021,Fashion,Suits,1월,130800,4,0.02,24360
2021,Fashion,Shirts,1월,235200,1,0.05,127440
2021,Home & Furniture,Towels,1월,273600,4,0.04,133800
2021,Fashion,Shirts,1월,235200,1,0.03,132120
2021,Auto & Accessories,Car Mat,1월,64800,4,0.01,16200
2021,Auto & Accessories,Car Speakers,1월,253200,5,0.04,106560
2021,Fashion,Shirts,1월,235200,5,0.01,127440
2021,Fashion,Shirts,1월,235200,3,0.04,111000
2021,Fashion,Sneakers,1월,74400,5,0.05,14880
2021,Auto & Accessories,Car Body Covers,1월,140400,3,0.02,36000
2021,Fashion,Suits,1월,130800,1,0.03,30840
2021,Fashion,Sneakers,1월,74400,3,0.03,24840
2021,Fashion,Suits,1월,130800,2,0.04,24360
2021,Fashion,Shirts,1월,235200,3,0.03,118080
2021,Fashion,Shirts,1월,235200,2,0.05,115680
2021,Auto & Accessories,Car Mat,1월,64800,1,0.01,64800
2021,Home & Furniture,Towels,1월,273600,4,0.05,122880
2021,Fashion,Shirts,1월,235200,1,0.05,127440
2021,Home & Furniture,Shoe Rack,1월,148800,3,0.01,48360
2021,Fashion,Titak watch,1월,273600,2,0.03,161160
2021,Fashion,Sneakers,1월,74400,2,0.02,37200
2021,Home & Furniture,Beds,1월,93600,5,0.05,18720
2021,Fashion,Formal Shoes,1월,255600,5,0.04,108480
2021,Auto & Accessories,Bike Tyres,1월,86400,3,0.04,28800
2021,Fashion,Sports Wear,1월,102000,1,0.04,1920
2021,Auto & Accessories,Car Seat Covers,1월,136800,1,0.01,39480
2021,Fashion,Titak watch,1월,273600,3,0.02,161160
2021,Fashion,Sneakers,1월,74400,5,0.04,14880
2021,Home & Furniture,Curtains,1월,40800,2,0.04,20400
2021,Auto & Accessories,Car & Bike Care,1월,141600,2,0.05,31440
2021,Fashion,Suits,1월,130800,1,0.03,30840
2021,Fashion,Casula Shoes,1월,146400,3,0.02,41640
2021,Auto & Accessories,Car Media Players,1월,168000,3,0.04,51840
2021,Auto & Accessories,Car Media Players,1월,168000,2,0.02,65280
2021,Home & Furniture,Beds,1월,93600,3,0.01,31200
2021,Fashion,Shirts,1월,235200,1,0.03,132120
2021,Auto & Accessories,Car Pillow & Neck Rest,1월,277200,3,0.05,139680
2021,Home & Furniture,Bed Sheets,1월,253200,5,0.03,119280
2021,Auto & Accessories,Car Mat,1월,64800,5,0.04,12960
2021,Fashion,Fossil Watch,1월,190800,3,0.03,77640
2021,Fashion,Running Shoes,1월,268800,2,0.03,156720
2021,Fashion,Formal Shoes,1월,255600,1,0.05,146880
2021,Fashion,Jeans,1월,261600,1,0.05,152520
2021,Auto & Accessories,Car Speakers,1월,253200,3,0.05,119280
2021,Auto & Accessories,Car Body Covers,1월,140400,2,0.02,38760
2021,Home & Furniture,Sofas,1월,80400,2,0.05,40200
2021,Home & Furniture,Curtains,1월,40800,1,0.05,40800
2021,Auto & Accessories,Car Pillow & Neck Rest,1월,277200,1,0.02,175680
2021,Fashion,Titak watch,1월,273600,2,0.05,150240
2021,Auto & Accessories,Car Seat Covers,1월,136800,5,0.01,33960
2021,Fashion,Running Shoes,1월,268800,4,0.05,119040
2021,Fashion,Sneakers,1월,74400,4,0.04,18600
2021,Fashion,Casula Shoes,1월,146400,3,0.04,32880
2021,Fashion,Sneakers,1월,74400,5,0.04,14880
2021,Fashion,Casula Shoes,1월,146400,2,0.03,41640
2021,Auto & Accessories,Car Seat Covers,1월,136800,3,0.03,28440
2021,Auto & Accessories,Car & Bike Care,1월,141600,1,0.03,41400
2021,Fashion,Sports Wear,1월,102000,1,0.02,3960
2021,Fashion,Sneakers,1월,74400,5,0.01,14880
2021,Fashion,Formal Shoes,1월,255600,4,0.03,128880
2021,Fashion,Fossil Watch,1월,190800,3,0.01,89040
2021,Electronic,Tablet,1월,238800,3,0.01,135600
2021,Fashion,Sneakers,1월,74400,3,0.05,24840
2021,Electronic,Tablet,1월,238800,1,0.02,138000
2021,Fashion,Jeans,1월,261600,1,0.01,162960
2021,Fashion,Running Shoes,1월,268800,2,0.02,162000
2021,Electronic,Iron,1월,266400,1,0.04,159720
2021,Home & Furniture,Towels,1월,273600,5,0.01,163920
2021,Fashion,Shirts,1월,235200,2,0.03,125040
2021,Home & Furniture,Beds,1월,93600,1,0.05,93600
2021,Fashion,Suits,1월,130800,1,0.04,29520
2021,Electronic,Iron,1월,266400,2,0.04,149040
2021,Electronic,Samsung Mobile,1월,264000,5,0.02,141600
2021,Fashion,Titak watch,1월,273600,2,0.04,155760
2021,Electronic,Apple Laptop,1월,300000,3,0.03,177000
2021,Electronic,Keyboard,1월,39600,2,0.03,19800
2021,Fashion,Formal Shoes,1월,255600,1,0.02,154440
2021,Fashion,Shirts,1월,235200,1,0.04,129840
2021,Electronic,LED,1월,230400,4,0.01,125160
2021,Fashion,Jeans,1월,261600,2,0.02,155160
2021,Electronic,Tablet,1월,238800,2,0.04,123720
2021,Fashion,Casula Shoes,1월,146400,4,0.01,44520
2021,Fashion,Casula Shoes,1월,146400,1,0.03,45960
2021,Fashion,Jeans,1월,261600,3,0.05,126360
2021,Fashion,Shirts,1월,235200,3,0.05,103920
2021,Electronic,Tablet,1월,238800,1,0.03,135600
2021,Fashion,Sports Wear,1월,102000,3,0.03,33960
2021,Electronic,Mouse,1월,133200,2,0.04,26520
2021,Fashion,T - Shirts,1월,297600,5,0.02,171840
2021,Fashion,Running Shoes,1월,268800,2,0.05,145920
2021,Fashion,T - Shirts,1월,297600,3,0.04,165840
2021,Fashion,Suits,1월,130800,5,0.02,21720
2021,Fashion,Fossil Watch,1월,190800,4,0.04,64320
2021,Fashion,Casula Shoes,1월,146400,4,0.02,38640
2021,Fashion,Running Shoes,1월,268800,5,0.04,119040
2021,Electronic,Mouse,1월,133200,5,0.02,23880
